tank,date,water temperature,nitrate,nitrite,hardness,chlorine,alkalinity,ammonia,pH,conductivity (uS/cm),total fish food,water modifications,water added (L),greenhouse_temp,greenhouse_humidity,notes
1,7/17/17,18.3,0,0,150,0,10,0,7.83,810,30,None,,19.1,67,"Moved up from feeding 10 pellets each to 15 pellets each. Fish very active before feeding, after feeding even more active. Both fish eating instead of just one hogging it. Water level in tank still about 1in below line. Added 1L aerated, dechlorinated tap water to each plant try with 1.5mL plant nutrients dissolved per 2L"
1,7/19/17,19.4,0,0,200,0,10,0,7.85,830,30,"Added 4L aerated, dechlorinated tap water",4,18.9,66,"Water level still high, but only around .5in below line. One fish still nipping at the other, but both are active and eating right when fed. The siphon wasn't straight at the beginning, but was still funcitoning properly. We moved the aerators to the back of thetank to prevent the air from getting in the siphona nd making them stop working. We took bioball samples (10 bioballs, and water from the biofilter). Afterwards, the water in the tank was greener from having stirred up the algae. Added 750mL aerated, dechlorinated tap water to each plant grow tray, with 1.5mL plant nutrients per 2L (1.125mL per 1.5L) Measured at 9:00am"
1,7/21/17,19.3,0,0,150,0,5,0,7.76,820,30,None,,23.5,62,"A cat got in sometime in the last 48 hours (we suspect). it knocked grow tray 1 completely into the water of tank 6, and grow tray 1 into the water of tank 2 (although just the bottom for grow tray 2; the plants of that one weren't contaminated). We noticed also that the plant trays were labelled twice, each one labelled both tray 1 and tray 2. We removed one of the labels so there would be no confusion in the future, but it is possible that all previous measurements could be for either plant tray. The cat (?) chewed through both of the aerator tubes in tank 1 (and other tanks) for both the tank and grow bed. When replacing the aerator tube for the tank, one of the glasscovers fell into the tank. We had to retrieve the air stone form the grow bed with a net, but not for the tank because it was still attatched to the tubing. The fish were initailly very sluggish and barely moving, but after air flow was restored they began to move again, in fact becoing very agitated after feeding. One fish especially was swimming all around the tank, and then after a few minutes ate all or almost all of the food. The temperature probe was dissconnected from the side of the tank, and I did not attemptt ot reconnect it because it shouldnot affect measurements. The styrofoam plant tray of tank 1 was leaning against the plant shelves on the ground when we arrived. We replaced it in the grow bed. "
1,7/22/17,21.2,0,0,200,0,0,0,7.78,830,30,"Added 4L aerated, dechlorinated tap water",4,23.5,58,"The fish were moderately active, more agitated after feeding. "
1,7/24/17,20.6,0,0,200,0,0,0,6.98,820,30,"Added 4L aerated, dechlorinated water",4,20.4,69,"All power was out at 9:00. Ray restored it around 9:15. He was at the greenhouse last night and the pwoer was on, so it was probably only out for a few hours. The fish were still relatively active despite the aerator not funcitoning (the pumps were also off). Once power was restored, the fish became more active and ate all their food within a few minutes. "
1,7/26/17,21.2,0,0,200,0,0,0,7.72,820,30,"Added 4L aerated, dechlorinated water",4,20.3,70,Fish were active and eating
1,7/28/17,19.4,0,0,150,0,0,0,7.88,800,30,None,,22.2,65,"There was a biofilm on the suface of the solids filter. It was an opaque grey color with light green streaks in it. Water still appeared to be circulating, however. Tank 3 was the only other tank with a biofilm on the solids filter surface, however that one was much greener. The fish were not very active at all, although one was still nipping at the other. The water line was about half an inch below the line. "
1,7/30/17,21.2,N/A,N/A,N/A,N/A,N/A,0,7.77,810,30,"Added 3L aerated, dechlorinated tap water",3,21.7,72,"Fish active and eating immediately. One is aggitated, nipping at other, and has a dark grey splotch behind its eye on one side of its face (new mark). The biofilm in the waste bucket is growing. There are mroe green streaks and the water appears to be flowing, because the gren lines (creases int he film) are pointed at the outflow tube.  "
1,7/31/17,20,0,0,150,0,0,0,7.8,810,40,"Added 1L aerated, dechlorinated tap water",1,19.8,67,The plants on the left side of the grow tray generall recieve less light than the ones on the right side; the ones on the right side are growing bigger. We took samples of the biofilm in the waste buckets.
1,8/2/17,22.5,0,0,150,0,0,0,7.76,820,50,"Added 4L aerated, dechlorinated tap water",4,24.5,65,Had been taking plant measurements by straightening the longest leaf. Changed the procedure so now not stretching the leaves out and measuring from the base to the unstretched top of the plant. 
1,8/5/17,22.1,0,0,150,0,0,0,7.7,810,50,"Added 6L aerated, dechlorinated tap water",6,21,72,"Super active fish, fish eating immediately. One fish has redness on fins, other has black spot on face. Biofilm getting more green and bubbly; fewer streaks and more globular"
1,8/7/17,,0,0,150,0,0,0,8.274,866,50,"Added 10L aerated, dechlorinated tap water",10,21.2,77,"Checked water chemistry using API test kit too (nitrate = 0, nitrite = 0), used ISB pH and conductivity probes in P1 for those measurements. Water level was high, sunny weather. Fish active and eating food evenly."
1,8/9/17,21.1,0,2,175,0,30,0,7.82,790,60,"Added 4L aerated, dechlirinated tap water. Water levels low (2cm below black line)",4,22.6,74,"Fish coming to top to eat, very active. Ate 60 pellets evenly."
1,8/11/17,21.5,0,3,150,0,0,0.1,7.68,780,60,"Added 4L aerated, dechlorinated H20",4,21.4,76,"Fish came to the top to eat, was very active. Both fish ate the food right away. Reset aerator. Fish were chasing each other. Dissolved O2 growbed = 8.69 mg/L, fish tank = 8.86 mg/L"
1,8/12/17,20.4,0,4,150,0,0,0.1,7.76,800,60,"Added 8 L of aerated, dechlorinated H20",8,18.9,73,Fish that had a black spot ate all of the food immediately. Both fish were active. No bioflim on waste bin/bucket.
1,8/14/17,18.6,0,4,130,0,0,0,7.8,660,60,"Added 2 L of aerated, dechlorinated H20",2,21.4,62,"Fish stayed at bottom and were not active. Fish ate food. Light intensity was 28,600 lux. Water in tank was slightly murky. "
1,8/16/17,18.8,0,4,150,0,20,0,7.79,750,70,"Added 2.25L aerated, dechlorinated tap water. Added 5mL pH down.",2.25,20.2,68,Growbed aerator broken. The fish with the dark spot was eating more. Both are active and healthy.
1,8/18/17,19.6,0,3,150,0,10,0,7.72,740,70,Added 4l aerated dechlorinated tap water. Added 5mL pH down. ,4,19.1,72,"Overcast skies. Both fish eating, one remaining back in the corner. Other fish swimming freely"
1,8/21/17,19.2,5,0,150,0,0,0,7.71,730,80,Added 2L water and 5mL pH down.,2,18.2,82,"Both fish eating well. One fish swimming freely, the other staying to the back left corner."
1,8/23/17,21.5,0,0.25,150,0,5,0,7.35,740,80,Added 2L water,2,21.9,72,A lot of algae in the tank. Top aerator is broken. Fish came to top and started eating right away.
1,8/25/17,17.9,0,0,150,0,10,0,7.39,730,80,Added 4L water,4,16.5,75,"Only one fish, the other was dead upon arrival this morning. Dead fish was 22"" and had tattered pectoral and caudal fins, red spots on gills."
1,8/28/17,21,0,0,150,0,10,0,7.4,700,40,"Added 16L tap water, restarted siphon",16,23.4,71,"Restarted siphon. Fish is healthy, active, and eating. Harvested plants today and ended experiment."
2,6/28/17,21.4,5,0,70,0,0,0,,,20,Added 30mL MicrobeLift commercial bacteria to biofilter and 2 pink tilapia (27cm and 17cm),,42.1,20,
2,6/30/17,22.1,0,0,100,0,0,0,7.59,470,20,"Added 4L aerated, dechlorinated tap H2O",4,43.8,14,
2,7/3/17,21.9,0,0,100,0,0,0.25,7.68,480,20,"Added 3L aerated, dechlorinated tap H2O and 45g Instant Ocean",3,33.3,34,
2,7/5/17,19.2,0,0,125,0,0,0.25,7.72,830,20,"Added 3.5L aerated, dechlorinated tap H2O",3.5,19.9,64,
2,7/7/17,26.6,0,0,150,0,0,0,7.72,840,20,none,,20.6,61,It's getting more ammount of sun than other tanks. The tank water is on the black line. 
2,7/8/17,20.1,0,0,200,0,10,0,7.75,840,20,none,,18.7,67,Water in the fish tank is stable. Fish is at the back of tank.
2,7/10/17,21.9,0,0,225,0,0,0.5,7.76,850,20,"Added 1.5 L aerated, dichlorinated tap H2O ",1.5,23.8,57,"Water fish tank is high. Not sunny. The fish sitting in the bottom, no movement. The screw were drop on the biofilter. The bigger fish ate a poo."
2,7/12/17,19.6,0,0,220,0,0,0.25,7.77,850,20,"Added 8L aerated, dichlorinated tap H2O",8,21.4,64,"Water fish tank is above of the black line. The bigger fish is not eating at all, a little bit movement. The small fish came to top to eat, very active.  Added 1L aerated, dichlorinated to each plants. Collected fish poop in the cyriological pipette. "
2,7/14/17,18.8,0,0,250,0,0,0,7.79,830,20,Added 16L aerated dichlorinated tap H2O,16,18.3,65,"The water fish tank is really high (overflow). The biofilter is dry. Kourtney restarted the siphon. Added aerated, dicholorinated to each plant with plant food. Tank 1, 2, 6, are getting more ammount of sun. Small fish is very active and came to top to eat. The bigger fish is not eating again, no movement. "
2,7/16/17,19.9,0,0,150,0,0,0,7.81,770,20,"Added  4L aerated, dichlorinated tap H20.",4,19.5,61,"Added 1L aerated, dichlorinated to each tray plant. Small fish came to top to eat, very active. Bigger fish is in the bottom eating, active."
2,7/17/17,18.7,0,0,150,0,0,0,7.82,770,30,Added 4L aerated dichlorinated tap H2O,4,19.2,67,"It was sunny today. The waste bucket is getting dirtier. Bigger fish is not eating, but a little bit active. Small fish came to top to eat, very active. "
2,7/19/17,19.9,0,0,200,0,0,0,7.76,760,30,"Added 2L aerated, dichlorinated.",2,19.2,65,"Water fish tank is a little bit above the line. The waste bucket is more dirty than before. The two fish both came to top to eat, very active. Collected bioballs and water to the biofilters."
2,7/21/17,19.9,0,0,150,0,0,0,7.64,770,30,"Added 4L aerated, dichlorinated tap H2O",4,23.5,62,"Not sunny. Fish Tank and waste bucket is really dirty. It's hard to see the fish.  The wire tubing  and air stone are inside of the grow bed. I need to replace a new one. Fish are sitting in the bottom, not moving. Big fish came to top to eat. Small fish is in the bottom eating. "
2,7/22/17,21.5,0,0,150,0,0,0,7.68,760,30,"Added 4L aerated, dichlorinated tap H2O",4,24.8,55,"Collected data at 8:30. Both fish are very active, came to top to eat. Water fish tank is on the black line."
2,7/24/17,21.1,0,0,150,0,0,0,7.08,760,30,"Added 8L aerated, dichlorinated tap H2O.",8,20.3,69,"The power was out. The fish are not moving, looks like they are about to die. Ray fixed the power, power is back. Waste bucket are more dirty than before. Water fish tank is above the black line. Biofilter water went up, pump is not connected, we fixed it. Water fish tank went up, kourtney restarted the siphon. Transfer 13 plants on grow bed from tray 2 ( 4 green and 9 purple). "
2,7/26/17,21.7,0,0,150,0,0,0,7.66,740,15,none,,20.7,69,"Small fish died. (21.5 cm). Redness arround top dorsal fin of fish, floating. Water fish tank is on the black line. Biofilter water is good. Water fish tank is more dirty than last time. Measured the height of plants and counted the leaves. "
2,7/28/17,19.7,0,0,150,0,0,0,7.67,740,15,none,,21,66,"Tank 1,2 are getting more amount of sun. Water fish tank level is on the black line. Biofilter has many algae and one larvae. Fish is on the bottom eating, very active. Plants are growing fast. Collected the plants height and # of leaves."
2,7/30/17,21.7,0,0,150,0,0,0,7.69,750,15,"Added 2.5L aerated, dichlorinated tap H2O",2.5,21.7,72,Fish active and eating. Biofilm (?) establishing in grow bed water flow good. Reconnected pump. Biofilm in biofilter.
2,7/31/17,20.5,0,0,175,0,0,0,7.7,740,20,none,,19.3,68,The water fish tank is on the black line. The water in biofilter is stable. Plants is getting taller and bigger. Collected biofilm from waste bin. Biofilter has more algae. 
2,8/2/17,22.9,0,0,200,0,0,0,7.67,750,25,none,,22.8,68,"8:50, fish is in the bottom, no movement. Water fish tank is on the black line. Biofilter has more algae on it than before. There is larvae in biofilter. Fish came to top to eat, very active. Plants roots getting longer. "
2,8/5/17,22.7,0,0,150,0,0,0,7.69,760,25,"Added 4L aerated, dichlorinated tap H2O",4,21.2,71,"Collected data at 9:00 AM. No biofilm. Fish is not very active, but eating. Waste in waste bucket looks like small black lines on sides."
2,8/7/17,21.4,0,0,150,0,0,0,7.01,836,25,none,,25.1,64,"9:00 fish are in the bottom. Biofilter has more algae. After 5 minutes, fish is eating, very slow. No biofilm. "
2,8/9/17,22.3,0,0,150,0,0,0,7.77,770,30,"Added 2L aerated,dichlorinated tap H20",2,22.4,77,"Recalibrated ph and conductivity. Water fish tank is on the black line. Redo ph and conductivity at 10:05. PH = 7.86, conductivity = 77. Light intensity 30,000 lux.  Roots length = 20cm. After feeding 5 pallets again, fish eat it right away. Waste bin has no biofilm. Adjust power of pump. Water went up, then went down after fixing the power in biofilter. Tested ammonia 3 times and the value is the same."
2,8/11/17,22,0,0,200,0,0,0,7.7,770,30,"Added 6L aerated, dichlorinated tap H2O.",6,21.4,76,"Fish are in the bottom at 9:07. Reset the aerator. Fish came to top to eat, very slow. Algae in biofilter less than before. D.O probe is next to aerator when taking dissolve oxygen in growbed."
2,8/12/17,21.1,0,0,150,0,0,0,7.85,760,30,"Added 6L aerated, dichlorinated tap H20.",6,18.9,73,"Weather is cloudy. Fish eats all the food right away when I left, active. It looks like fish is afraid to eat when I'm looking.  Fish in the bottom after eating. No biofilm in waste bin. The algae in biofilter are gone. Collected water data at 8:50."
2,8/14/17,19,0,0,150,0,0,0,7.86,740,30,"Added 4L aerated,dichlorinated tap H20. ",4,20.2,64," Weather is cloudy. Collected data at 9:00 Am. Fish came to top to eat, active. No biofilm. Collected plant data at 9:25 Am. Roots turning brown."
2,8/16/17,19.3,0,0,150,0,30,0,7.67,730,35,Added 5mL pH down. No water added,,20.2,68,"Pump was disconnected. once connected, tank overflowed. Restarted siphon. Growbed aerator broken. Fish resting at bottom of tank. "
2,8/18/17,20,0,0,150,0,10,0,7.66,730,35,Added 4l dechlorinated aerated tap water. Added 5mL pH down. ,4,19.1,72,"Fish is eating, just slow to start. "
2,8/21/17,19.6,0,0,150,0,0,0,7.65,650,40,Added 2L water and 5mL pH down,2,18.2,82,Fish is eating
2,8/23/17,21.9,0,0,150,0,0,0,7.56,720,40,Added 2L water,2,21.9,72,Fish slow to start eating but ate all food.
2,8/25/17,18.3,0,0,150,0,10,0,7.62,710,40,Added 6L water,6,16.5,75,Fish eating slowly
2,8/28/17,20.9,0,0,150,0,20,0,7.67,680,40,Added 28L water,28,23.4,71,"Restarted siphon, fish is healthy, active and eating. Harvested plants today and ended experiment."
3,6/28/17,21.5,5,0,70,0,0,0,,,20,Added 30mL MicrobeLift commercial bacteria to biofilter and 2 pink tilapia (21cm and 23cm),,42.1,20,
3,6/30/17,21.7,0,0,100,0,0,0,7.76,410,20,"Added 4L aerated, dechlorinated tap H2O",4,43.8,14,
3,7/3/17,21.7,0,0,100,0,0,1,7.68,490,10,"Added 4L aerated, dechlorinated tap H2O and 45g Instant Ocean; larger fish deceased",3,33.3,34,
3,7/5/17,18.5,0,0,125,0,0,2,7.82,890,10,"Added 3.5L aerated, dechlorinated tap H2O",3.5,19.9,64,
3,7/7/17,20.7,0,0,150,0,0,1,7.87,660,10,Added 2L aerated dechlorinated tap H2O,3,20.6,61,
3,7/8/17,20,5,0,200,0,0,0.7,7.71,850,20,None,,18.7,67,Very active after addition of food
3,7/10/17,21.7,0,0,150,0,0,1,7.87,870,10,Added 2L aerated dechlorinated tap H2O,2,23.7,57,Fish-Deceased
3,7/12/17,19.2,0,0,150,0,0,1,7.91,870,10,"Added 7L aerated, dechlorinated tap H2O. Added 3L bioballs into biofilter",7,21.1,64,#NAME?
3,7/14/17,18.8,0,0,150,0,0,1,7.89,850,10,"Added 20L aerated, dechlorinated tap H2O",20,18.1,66,Overflowing tank
3,7/16/17,19,0,0,150,0,0,0.8,7.92,800,10,none,,19.5,61,
3,7/17/17,18.8,0,2,150,0,0,1,7.85,790,15,none,,18.9,68,waste bin full of algae
3,7/19/17,19.9,0,4,150,0,0,0.75,7.76,790,15,Added 3L of aerated dechlorinated tap H2O,3,19.9,62,So much algae in waste bin
3,7/21/17,19.8,5,4,150,0,0,0.5,7.43,780,15,Added 3L of aerated dechlorinated tap H2O,3,23.8,62,airstone came undone in tank and growbed
3,7/22/17,21.2,10,5,150,0,0,0,7.72,770,15,"Added 4L aerated, dechlorinated tap H2O",4,20.4,69,
3,7/24/17,20.2,20,8,150,0,0,0.25,6.89,770,15,None,,20.6,69,#NAME?
3,7/26/17,21.1,20,10,150,0,0,0,7.47,780,15,"Added 4L of aerated, dechlorinated tap H2O",4,21.2,68,#NAME?
3,7/27/17,19.7,0,10,75,0,0,0,7.59,770,15,"Added 2L of aerated, dechlorinated tap H2O",2,20.9,66,#NAME?
3,7/30/17,21.6,0,10,75,0,0,0,7.67,760,15,"Added 4L of aerated, dechlorinated tap H2O",4,21.7,72,
3,7/31/17,20.9,0,10,75,0,0,0,7.52,760,20,None,,19.7,67,#NAME?
3,8/2/17,22.9,5,7,150,0,0,0,7.54,770,25,"Added 2L aerated, dechlorinated tap H2O",2,23.5,66,#NAME?
3,8/5/17,22.8,10,8,150,0,0,0,7.65,760,25,"Added 4L aerated, dechlorinated tap H2O",4,21.2,71,
3,8/7/17,21.2,5,5,150,0,0,0,7.52,806,25,"Added 5L aerated, dechlorinated tap H2O",5,22.9,69,"-difference in plant size, growbed 3 was the biggest"
3,8/9/17,22.3,2,7,150,0,0,0,7.73,750,30,"Added 4L aerated, dechlorinated tap H2O",4,23.3,72,recalibrated probe
3,8/11/17,22,2,3,150,0,0,0,7.58,750,30,"Added 4L aerated, dechlorinated",4,21.8,74,#NAME?
3,8/12/17,21.2,0,5,150,0,0,0,7.74,730,30,"Added 4L aerated, dechlorinated tap H2O",4,18.9,72,
3,8/14/17,19,0,1,150,0,0,0,7.68,730,30,"Added 4L aerated, dechlorinated tap H2O",4,20.6,64,-Root length: 25 cm
3,8/16/17,19,0,0.25,150,0,20,0,7.87,700,35,"Added 5ml pH down, added 12L aerated, dechlorinated tap water",12,20.2,68,"Fish active, aware, healty, hungry"
3,8/18/17,20,0,0,125,0,10,0,7.72,670,35,"Added 12l aerated, dechlorinated tap water. Added 5mL pH down. ",12,19.1,72,Fish is aggresively eating.
3,8/21/17,19.6,0,0,125,0,0,0,7.69,650,40,Added 4L water and 5mL pH down,4,18.2,82,Fish eating aggressively
3,8/23/17,21.9,0,0,150,0,0,0,7.6,640,40,Added 2L water,2,21.9,72,"Fish ate all food right away, looks like he wants more"
3,8/25/17,18.4,0,0,150,0,10,0,7.66,640,40,Added 2L water,2,16.5,75,Fish eating aggressively
3,8/28/17,21.1,0,0,150,0,10,0,7.63,630,40,None,,23.4,71,"Fish is healthy, active, and eating. Harvested plants today and ended experiment"
4,6/28/17,21.9,5,0,70,0,0,0,,,20,Added 21 bioballs from established AQX system (Tank 1) from ISB to biofilter and 2 pink tilapia (24cm and 20cm).,,42.1,20,#NAME?
4,6/30/17,22.3,0,0,100,0,0,0,7.59,450,20,"Added 4L aerated, dechlorinated tap H2O",4,43.8,14,#NAME?
4,7/3/17,22.3,0,0,100,0,0,0.25,7.75,470,20,"Added 3L aerated, dechlorinated tap H2O and 45g Instant Ocean",3,33.3,34,#NAME?
4,7/5/17,19.2,0,0,125,0,0,0.5,7.75,830,20,"Added 2L aerated, dechlorinated tap H2O; need to add more bioballs to biofilter",2,19.9,64,"Resting on bottom, not interested in food"
4,7/7/17,20.8,0,0,150,0.5,0,0.25,7.79,840,20,"Added 6L of aerated, dechlorinated tap H2O",6,20.6,61,"- One fish is staying at the top on the far left hand corner
- The other fish is moving around, occasionally going to the other fish
- Taken at 9:30 AM
- Water is above the water line
- No direct sunlight
- Added 1L of aested dechlorinated tap H2O to grow tray"
4,7/8/17,20.1,0,0,200,0,0,0,7.78,820,0,"Added 4L of aerated, dechlorinated tap H2O",4,18.7,67,#NAME?
4,7/10/17,21.1,0,0,150,0.25,0,0.5,7.78,810,20,Added nothing,,23.9,57,"- Fish are not actively looking for food
- Food was gone after a while
- Taken at 9:00 AM
- Fish are closer to each other than before
- There is some activity
- Discoloration on the growth bed, possible red algae growth
- No direct sunlight"
4,7/12/17,19.7,0,0,150,0,0,0.5,7.82,820,20,"- Added 4L of bioballs
- Added 2L of aerated, dechlorinated water",2,21.4,64,"- Fish are lying on the bottom
- Fish became very active one I put the food in, continued to look for more food after they ate it all?
- Taken at 9:15 AM
- Water is at water line
- It was sunny,but at the time of taking data there was shadeon the grow tray
- Added 0.7 mL of FloralGlo
- Added 1.5L to each plant bed
- Collected 22.5 mL of liquid from the solids filter"
4,7/14/17,19,0,0,225,0,0,0,7.8,820,20,"Added 6L of aerated, dechlorinated water",6,18.4,65,"- When I first got to the green house both fish were inactive. After feeding smaller fish got more active
- Smaller fish got more food pellets
- Small fish bumped(?) into the bigger fish, bigger fish gulped/bite for a few moments after"
4,7/17/17,19,0,0,150,0,0,0,7.8,770,30,Added nothing,,19.5,67,"- Bigger fish more active than before
- Bigger fish chasing small fish?
- Smaller fish scavenges for food while the bigger fish just eats what they see
- Fish were primarily in the bottom, back, right corner
- Taken at 9:00AM 
- Water level higher than before
- Today was sunny; shade on tanks 3,4,5; sun on tanks 1,2,6
- Added 1L of aerated, dechlorinated water with 1.5mL of FloralGlo"
4,7/16/17,20.1,0,0,150,0,0,0,7.7,780,20,Added nothing,,19.5,61," - Average level of activity
- air bubbles on top of aerator"
4,7/19/17,20,0,0,200,0,0,0,7.76,780,30,Added nothing,,19.4,64,"- Fish are lying on the bottom, on opposite sides of the tank(right,left)
- Taken at 8:50- Water is much murkier than the other thanks; Algae growth
- Weather was sunny; Sun on Tanks 1,2,6; Shade on Tanks 3,4,5
- Water level is near the top- Siphon  was slanted, was put upright later on
- Added 750mL of aerated, dechlorinated water with 1.125mL of FloralGlo
- One of the glass lids fell into the tank- Moved the aerator to the back of tank
- Took out 10 bioballs from the biofilter"
4,7/21/17,20,0,0.75,200,0,0,0.1,7.76,820,30,"Added 6L of aerated, dechlorinated water",6,23.5,62,"- Small fish was very active today
- The bigger fish stayed in the back, bottom, right resting
- Overcast at 9:00 AM; all tanks have no direct sunlight
- At 9:30 the sun began to come out; sunlight on tanks 1,2,5, and 6
- Algae growth; very hard to see fish, you can only see the color of the body now.
- Siphon was slanted when we came in?

Additional notes:
An(?) animal(s) came into the green house and disturbed most tank systems (1,2,3,5,6). Tanks 2,3,5, and 6 needed to restart their areator in the grow tray. Grow tray 1 fell into tank 6, so it is no longer viable for the other tanks to use. "
4,7/22/17,21.5,0,0,150,0,0,0,7.7,780,30,None,,23.5,58,"- The large fish stayed at the bottom, small fish was more active; Cloudy weather"
4,7/24/17,20,0,0.5,150,0,10,0,7.1,790,30,None,,20.4,69,"- The fish were active, but did not eat immediately. 
- Added 13 plants; 4 green, 9 purple. See Kourtney's lab notebook for information on height, leaf number, color, and root length."
4,7/26/17,21.2,0,1,200,0,20,0,7.76,790,30,"Added 4L aerated, dechlorinated water",4,20.3,70,#NAME?
4,7/28/17,21.6,0,0,150,0,0,0,7.78,790,30,Nothing added,,21.2,66,"- Both fish were lying on the bottom but were active once fed 
- Sunny at 9:00AM; tanks 3, 4, 5 had no sunlight 
- Algae growth in the tank, biofilter, and grow tray. Biofilm on growtray? 
- Air stone disconnected from aerator in the growtray. Attached new air stone. 
- The tube to the right on the aerator is no longer working. No oxygen to the grow tray. "
4,7/30/17,21.7,,,,,,0,7.71,800,30,"Added 6L of aerated, dechlorinated water",6,21.9,72,"- Cloudy at 9:00AM; no tanks had direct sunlight
- Both fish seems to be active and are staying near each other
- The fish may be trying to mate?; The bigger fish may be male and smaller fish female
- Bucket fell into the tank"
4,7/31/17,20.4,0,0,150,0,0,0,7.64,780,40,Added nothing,,19.3,60,"- Sunny at 9:00AM; shade on 3, 4, 5; partly shaded on 1, 2, 6
- The bigger fish is very aggressive/territorial(?); always chasing the smaller fish
- Smaller fish was staying near the aerator
- Bigger fish tried to stop the smaller fish from eating at times"
4,8/2/17,22.9,0,0,115,0,0,0,7.62,770,50,Added 28L of aerated. dechlorinated water,28,22.9,68,"- Sunny at 9:00AM; shade on 3, 4, 5
- Water was overflowing when interns arrived and pump had disconnected in the biofilter; had to restart the siphon and reconnected the pump
- Water levels went back to normal after doing so
- Both fish stayed near the aerator; lack of oxygen because of overflowing?
- The fish ate quickly after being fed all 50"
4,8/5/17,22,0,0,150,0,0,0,7.73,700,50,"Added 8L of aerated, dechlorinated water",8,21.2,71,#NAME?
4,8/7/17,21.2,0,0,150,0,0,0,8.226,745,50,Nothing added,,22.9,69,"Sunny; light intensity in the grow bed was 36,000 - Used a different Probe to measure pH and conductivity - Waited around 3 hours to measure water chemistry - Used test kit to measure nitrate and nitrite than usual test strips"
4,8/9/17,22.3,0,0,225,0,0,0,7.76,690,60,"Added 8L of aerated, dechlorinated ",8,23.6,71,"- Sunny at 9:00AM; shade on tanks 2, 3, 4 - Light intensity for tank 4 was 35,000 Lux - Biofilm in the growtank is gone - Algae in tank 3, 4, 5 has now decreased - Measured pH and conductivity twice and got the same thing"
4,8/11/17,22.2,0,0,150,0,0,0,7.64,680,60,"Added 5L of aerated, dechlorinated water",5,21.8,74,
4,8/12/17,21.1,0,0,150,0,0,0,7.66,660,60,"Added 1L of aerated, dechlorinated water",1,18.9,72,"- Fish were very shy when first fed; only ate when no one was in front
- Began chasing each other after eating"
4,8/14/17,18.6,0,0,150,0,20,0,7.7,660,60,"Added 6L of aerated, dechlorinated water",6,20.5,64,"- Shy
- Stays to the back of the tank
- Occasional chasing
- Root lengths was 6.5 cm
- Light intensity was 15,400 lux
- Found some algae leaves(?) in the tank"
4,8/16/17,18.7,0,0,150,0,20,0,7.95,650,70,"Added 5ml pH down, added 4l aerated, dechlorinated tap water.",4,20.2,68,"Fish resting at bottom of tank, but came up to eat. Food distribution even."
4,8/18/17,19.8,0,0,150,0,15,0,7.8,640,70,"Added 8L aerated, dechlorinated tap water. Added 5mL pH down.",8,19.1,72,Both fish eating.Slow to eat the remainder on the tank bottom.  
