id,kingdom,phylum,class,order,family,genus,species,counts,effective_length,sample
AB680969.1.1462,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,2,1,T0B
AB681337.1.1470,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas japonensis,1,1,T0B
AB688113.1.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas abyssalis,2,1,T0B
ADIG01001062.61012.62536,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,groundwater metagenome,1,1,T0B
AF358012.1.1450,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,uncultured bacterium,1,1,T0B
AGTS01000010.187.1721,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,Acidovorax sp. NO-1,1,1,T0B
AJ231172.1.1474,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula,planctomycete str. 567,2,1,T0B
AM490768.1.1507,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,uncultured bacterium,1,1,T0B
AM711541.1.1462,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Desmonostoc PCC-7422,Nostoc sp. 8964:3,2,1,T0B
APJO01001039.22593.24112,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Auxenochlorella protothecoides,,,1,1,T0B
ARWC01000001.2032960.2034478,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,Methylotenera sp. 1P/1,1,1,T0B
ARWC01000001.2729248.2730766,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,Methylotenera sp. 1P/1,1,1,T0B
AXVJ01000103.21.1506,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Runella,Runella limosa DSM 17973,1,1,T0B
AY212568.1.1486,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,uncultured bacterium,1,1,T0B
AY212682.1.1506,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured bacterium,1,1,T0B
AY328714.1.1418,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,uncultured bacterium,1,1,T0B
AY328743.1.1472,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured bacterium,5,1,T0B
AY328759.1.1532,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,DSSD61,uncultured bacterium,2,1,T0B
DI164723.2701.4213,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unidentified,2,1,T0B
DI165495.1322.2817,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unidentified,1,1,T0B
DQ395714.1.1527,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,uncultured organism,1,1,T0B
DQ396875.157231.158741,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Tetradesmus obliquus,,,15,1,T0B
DQ396875.75151.76661,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Tetradesmus obliquus,,,5,1,T0B
DQ815080.1.1434,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium,5,1,T0B
DQ817172.1.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Chromobacteriaceae,Crenobacter,uncultured bacterium,1,1,T0B
EF126235.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,230,1,T0B
EF433462.1.1394,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia chinhatensis,1,1,T0B
EF580965.1.1442,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,2,1,T0B
EU580470.1.1445,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Amphora ovalis,,,2,1,T0B
EU703303.1.1382,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured Flexibacteraceae bacterium,4,1,T0B
EU715312.1.1501,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium,3,1,T0B
EU937837.1.1527,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured bacterium,1,1,T0B
FJ002217.1.1441,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Amphora sp. C10,,,15,1,T0B
FJ002224.1.1430,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Nitzschia thermalis,,,13,1,T0B
FJ425597.1.1442,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured diatom,,,1,1,T0B
FJ425607.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured diatom,,,10,1,T0B
FJ439867.1.1481,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Stenotrophobacter,uncultured bacterium,7,1,T0B
FJ710755.1.1488,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium,2,1,T0B
FJ750462.1.1407,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Luteimonas sp. EM0590,1,1,T0B
FJ821729.1.1477,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter sp. GR14-4,25,1,T0B
FJ849185.1.1405,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,3,1,T0B
FLMP01022795.174.1637,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,seawater metagenome,,,1,1,T0B
FM242393.1.1440,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured diatom,,,6,1,T0B
FM242436.1.1440,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured diatom,,,12,1,T0B
FNXT01000592.130534.132023,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Tetradesmus obliquus,,,1,1,T0B
FPID01000083.1.1471,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,metagenome,1,1,T0B
FPLL01002330.10.1470,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,metagenome,1,1,T0B
FPLM01003032.17.1530,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,metagenome,,,15,1,T0B
FPLM01005109.10.1512,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,JGI 0001001-H03,metagenome,2,1,T0B
FPLP01001944.16.1558,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,metagenome,,3,1,T0B
FPLP01003179.16.1530,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,AAP99,metagenome,3,1,T0B
FPLS01002226.16.1481,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,metagenome,2,1,T0B
FPLS01004421.21.1506,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,metagenome,4,1,T0B
FPLS01012462.16.1527,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,uncultured,metagenome,,2,1,T0B
FPLS01019011.18.1471,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Leptothrix,metagenome,1,1,T0B
FPLS01021895.12.1520,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,metagenome,4,1,T0B
FQ660169.1.1304,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,uncultured soil bacterium,1,1,T0B
FR690825.1.1497,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,uncultured bacterium,2,1,T0B
GFIO01003240.10.1502,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Oryzias latipes (Japanese medaka),19,1,T0B
GQ264369.1.1430,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,uncultured bacterium,2,1,T0B
GQ360012.1.1488,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,uncultured bacterium,2,1,T0B
GQ360021.1.1486,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,uncultured,uncultured bacterium,2,1,T0B
GQ441215.1.1445,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,1,1,T0B
GQ441223.1.1446,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,6,1,T0B
GQ441255.1.1446,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,964,1,T0B
GQ441275.1.1446,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,8,1,T0B
GQ480089.1.1468,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Runella,uncultured bacterium,13,1,T0B
GU119642.1.1402,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured organism,,,3,1,T0B
GU437593.1.1457,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,2,1,T0B
GU560162.1.1496,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured Pseudomonas sp.,5,1,T0B
GU560175.1.1502,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Aquimonas,uncultured Aquimonas sp.,4,1,T0B
GU572372.1.1493,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,uncultured Leptothrix sp.,1,1,T0B
GU591327.113086.114571,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Durinskia baltica,,,360,1,T0B
HG917721.1.1453,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured bacterium,,1,1,T0B
HM103328.1.1399,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas anguilliseptica,1,1,T0B
HM103333.1.1381,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. ZH13,4,1,T0B
HM238129.1.1469,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured gamma proteobacterium,1,1,T0B
HQ003492.1.1494,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,uncultured Burkholderiales bacterium,3,1,T0B
HQ111167.1.1489,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rubrivivax,uncultured Burkholderiales bacterium,3,1,T0B
HQ114094.1.1404,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,1398,1,T0B
HQ119406.1.1499,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,uncultured bacterium,2,1,T0B
HQ343206.1.1493,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Leptothrix,uncultured bacterium,1,1,T0B
HQ403232.1.1499,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Aquimonas,uncultured bacterium,2,1,T0B
HQ661225.1.1426,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,uncultured bacterium,2,1,T0B
HQ755509.1.1463,Bacteria,Acidobacteria,Subgroup 6,uncultured organism,,,,4,1,T0B
HQ818296.1.1434,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Limnobacter,uncultured organism,3,1,T0B
HQ820499.1.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Limnobacter,uncultured organism,1,1,T0B
JF272014.1.1442,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,2,1,T0B
JF272162.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,5,1,T0B
JF344036.1.1440,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured cyanobacterium,,,32,1,T0B
JF344243.1.1440,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured cyanobacterium,,,6,1,T0B
JF344251.1.1440,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured cyanobacterium,,,7,1,T0B
JF344300.1.1443,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured cyanobacterium,,,9,1,T0B
JF344702.1.1440,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured cyanobacterium,,,170,1,T0B
JF429379.1.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,uncultured bacterium,1,1,T0B
JN397995.1.1404,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,273,1,T0B
JN662329.1.1467,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured bacterium,3,1,T0B
JN679129.1.1491,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,uncultured Leptothrix sp.,1,1,T0B
JN868759.1.1527,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,uncultured bacterium,2,1,T0B
JN869198.1.1490,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured bacterium,,,1,1,T0B
JQ323117.1.1458,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,uncultured bacterium,17,1,T0B
JQ580105.1.1438,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured cyanobacterium,,,5,1,T0B
JQ678582.1.1494,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,uncultured bacterium,2,1,T0B
JQ684368.1.1488,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pelomonas,uncultured bacterium,6,1,T0B
JQ769728.1.1471,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,uncultured bacterium,12,1,T0B
JQ814724.1.1449,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,171,1,T0B
JQ814739.1.1449,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,5,1,T0B
JQ923585.1.1490,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,uncultured bacterium,7,1,T0B
JX843282.1.1448,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum fermentarium,24,1,T0B
KC000273.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus,unidentified marine bacterioplankton,2,1,T0B
KC994718.1.1447,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured Durinskia,,,19,1,T0B
KF003149.1.1464,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Runella,uncultured Runella sp.,5,1,T0B
KF037834.1.1448,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,6,1,T0B
KF037878.1.1489,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Aridibacter,uncultured bacterium,4,1,T0B
KF245634.1.1478,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Aridibacter,Aridibacter famidurans,2,1,T0B
KF798840.1.1450,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,2,1,T0B
KF827023.1.1400,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula,uncultured planctomycete,2,1,T0B
KF964592.1.1446,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,15,1,T0B
KF975519.1.1501,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium,1,1,T0B
KJ192053.1.1445,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured diatom,,,140,1,T0B
KM200419.1.1506,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured Rhodanobacter sp.,2,1,T0B
KM456086.1.1450,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium,3,1,T0B
KP054180.1.1443,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,JGI 0001001-H03,uncultured bacterium,3,1,T0B
KT002347.1.1465,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,uncultured Clostridium sp.,2,1,T0B
KT182512.1.1428,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,uncultured Rhodobacter sp.,2,1,T0B
KT835569.1.1429,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,uncultured bacterium,2,1,T0B
KT952293.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Pinnularia sp. U-strain,,,9191,1,T0B
KT952679.1.1447,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,24,1,T0B
KX937798.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured marine eukaryote,,,7,1,T0B
KY117479.1.1427,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum sp.,3,1,T0B
LC124699.1.1563,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,2,1,T0B
LN570629.1.1379,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured bacterium,,7,1,T0B
AB021351.1.1470,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Eoetvoesia,bacterium rM16,8,1,T0Comm
AB076886.1.1396,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured Flexibacter sp.,1,1,T0Comm
AB188220.1.1535,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Luteimonas sp. TUT1238,4,1,T0Comm
AB240354.1.1485,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Paucibacter,uncultured bacterium,2,1,T0Comm
AB244763.1.1481,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter lindaniclasticus,28,1,T0Comm
AB246806.1.1390,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,Mesorhizobium sp. Q-2,3,1,T0Comm
AB257632.1.1537,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured gamma proteobacterium,95,1,T0Comm
AB257638.1.1536,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured gamma proteobacterium,14,1,T0Comm
AB257640.1.1537,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured gamma proteobacterium,74,1,T0Comm
AB271045.1.1418,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia ginsengisoli,3,1,T0Comm
AB274850.1.1450,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,uncultured bacterium,1,1,T0Comm
AB290148.1.1494,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,uncultured bacterium,1,1,T0Comm
AB297967.1.1469,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,Acidovorax sp. SUPP1855,2,1,T0Comm
AB355044.1.1452,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,1,1,T0Comm
AB362828.1.1518,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella fontinalis,19,1,T0Comm
AB473906.1.1537,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured endolithic bacterium,3,1,T0Comm
AB498817.1.1484,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,3,1,T0Comm
AB508869.1.1438,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum sp. TSH81w,3,1,T0Comm
AB740404.1.1487,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium,9,1,T0Comm
AB754091.1.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,uncultured bacterium,1,1,T0Comm
ADIG01001062.61012.62536,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,groundwater metagenome,54,1,T0Comm
AF236013.1.1496,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,beta proteobacterium A1020,1,1,T0Comm
AF244751.1.1463,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Singulisphaera,Nostocoida limicola III,16,1,T0Comm
AF312222.1.1473,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured Pietermaritzburg bacterium Y17-8,1,1,T0Comm
AF445679.1.1488,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,uncultured beta proteobacterium,1,1,T0Comm
AF521650.1.1477,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum sp. Arm2-2,1,1,T0Comm
AJ005449.1.1485,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Castellaniella,Castellaniella defragrans,100,1,T0Comm
AJ005450.1.1485,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Castellaniella,Castellaniella defragrans,111,1,T0Comm
AJ318121.1.1487,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured Bacteroidetes bacterium,11,1,T0Comm
AJ438155.1.1470,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium somerae,16,1,T0Comm
AM162301.1.1495,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. JS14-10,1,1,T0Comm
AM934946.1.1365,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured Xanthomonas sp.,2,1,T0Comm
AP014582.3509209.3510742,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Bordetella,Bordetella bronchiseptica,2,1,T0Comm
AY188295.1.1500,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured bacterium,14,1,T0Comm
AY218670.1.1504,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured bacterium,1,1,T0Comm
AY218677.1.1483,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium,2,1,T0Comm
AY218686.1.1506,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured bacterium,169,1,T0Comm
